特徴量名,単位,説明
barcelona_rain_3h,mm,time列に記載の時刻におけるバルセロナの過去3時間の降雨量 (mm)
barcelona_snow_3h,mm,time列に記載の時刻におけるバルセロナの過去3時間の降雪量 (mm)
barcelona_clouds_all,%,time列に記載の時刻におけるバルセロナの全天の雲の割合（%）
barcelona_weather_id,-,time列に記載の時刻におけるバルセロナの天気を示すために使用されるコード
barcelona_weather_main,-,time列に記載の時刻におけるバルセロナの現在の天気の短い説明
barcelona_weather_description,-,time列に記載の時刻におけるバルセロナの現在の天気の詳細な説明
barcelona_weather_icon,-,time列に記載の時刻におけるバルセロナのウェブサイト用の天気アイコンコード
seville_temp,ケルビン,time列に記載の時刻におけるセビリアの気温 (ケルビン)
seville_temp_min,ケルビン,time列に記載の時刻におけるセビリアの最低気温 (ケルビン)
seville_temp_max,ケルビン,time列に記載の時刻におけるセビリアの最高気温 (ケルビン)
seville_pressure,hPa,time列に記載の時刻におけるセビリアの気圧 (hPa)
seville_humidity,%,time列に記載の時刻におけるセビリアの湿度 (%)
seville_wind_speed,m/s,time列に記載の時刻におけるセビリアの風速 (m/s)
seville_wind_deg,-,time列に記載の時刻におけるセビリアの風向
seville_rain_1h,mm,time列に記載の時刻におけるセビリアの過去1時間の降雨量 (mm)
seville_rain_3h,mm,time列に記載の時刻におけるセビリアの過去3時間の降雨量 (mm)
seville_snow_3h,mm,time列に記載の時刻におけるセビリアの過去3時間の降雪量 (mm)
seville_clouds_all,%,time列に記載の時刻におけるセビリアの全天の雲の割合（%）
seville_weather_id,-,time列に記載の時刻におけるセビリアの天気を示すために使用されるコード
seville_weather_main,-,time列に記載の時刻におけるセビリアの現在の天気の短い説明
seville_weather_description,-,time列に記載の時刻におけるセビリアの現在の天気の詳細な説明
seville_weather_icon,-,time列に記載の時刻におけるセビリアのウェブサイト用の天気アイコンコード
price_actual,EUR/MWh,実際の電力価格 (EUR/MWh) (目標値)
